,label,prob,cleaned_tweet,tweet_id,racist
34,hateful,tensor(0.8318),nigra in da back,1001003323,0
35,hateful,tensor(0.6647),hey rachel my name isint kenneth ok let just get that straight you best be backing off before go ghetto,1001007076,0
36,not-hateful,tensor(0.6245),bitches better stop wearing bonnets in public put fucking hat on if youre lazy cunt like me thats what do,6034,1
37,hateful,tensor(0.9898),we been passed dem niccas yrs ago fr,1001022983,0
38,hateful,tensor(0.9943),gotta niggas bitches hating on me cus im making that cheese,9.31E+17,0
39,hateful,tensor(0.9717),every time real nigga call yo phone pick it up,8.82E+17,0
40,not-hateful,tensor(0.9997),nowplaying bt feat tori amos blue skies radio edit on thearrow,1001000756,0
41,not-hateful,tensor(0.6297),immigrant teens say restraint chairs were used to strap them down in detention centers smartnews,18250,0
42,not-hateful,tensor(0.8141),the burd is creeped out why where latino characters only speaking english whats wrong with speaking spanish juantopia lesleyuniversity art bird anger pencildrawing wepa,1.01E+18,0
43,hateful,tensor(0.9915),big ass wasp was flying round on my bus my dike bus driver stops the bus grabs that bitch by the wings and throws it out the window,1001007621,0
44,hateful,tensor(0.7714),rt saw great chimpout summers ago middle aged salvadoran and his yr old son got wasted by beaners at the metlife,1001018491,1
45,not-hateful,tensor(0.8187),for the same reason you can not stop black lives matter rally lol most of it is freedom of speech but that right there is the state of,8.97E+17,1
46,not-hateful,tensor(0.9272),anyone wonder if it about the proposed sale of his company to chinese company just saying there could be other reasons moochmadness,8.92E+17,0
47,hateful,tensor(0.9165),the fucking royals bitch work,1001022019,1
48,hateful,tensor(0.9605),feel like wtg was speaking to me personally on blindniggasamurai,5.91212E+17,0
49,hateful,tensor(0.7698),deport all illegals let them await their trial via video in their country deport all uacs let their country take care of their own kids not taxpayers verify welfare and jobs immigrationreforn trumptrain rednationrising no dac,1726,1
50,not-hateful,tensor(0.6471),rt dear oreo what this hear about watermelon flavor keep your fake fruit flavor out of my crisco sandwiches love,1001019775,0
51,not-hateful,tensor(0.9995),at disneys polynesian village resort in lake buena vista fl,6.76161E+17,0
52,hateful,tensor(0.9881),girls that send me dirty snaps dms and texts keeping my cock hard all day is the reason love my life thanks ya dirty lil sluts,5847,1
53,hateful,tensor(0.8969),to my nigga he da only one heard dat new justar if you wanna hear it come out to looklounge tonight,5.89158E+17,0
54,not-hateful,tensor(0.9868),ima come when get dress,5.92055E+17,0
55,not-hateful,tensor(0.5401),whenever see pic captioned soft ghetto log off for minutes,1001023245,0
56,hateful,tensor(0.9917),pussy like girls zaaaammnn is my pussy gay,1001014282,0
57,not-hateful,tensor(0.8938),koreans can handle spicy food lol,8.93E+17,1
58,not-hateful,tensor(0.8904),this isn murica charlie brown rejectedpeanutsspecials,1001022386,0
59,hateful,tensor(0.9422),goodnight with my niggas and aus,8.66E+17,0
60,hateful,tensor(0.9633),lassen cc the coach wants me feel it youll get more my nig no doubt,1001000320,1
61,hateful,tensor(0.9781),after day bitch fest maybe,1001006786,0
62,hateful,tensor(0.9782),her pussy wet call it fiji water,1001010053,0
63,hateful,tensor(0.9919),stupid bitches fuck,1001021661,0
64,not-hateful,tensor(0.9999),government message over free movement is deterring migrants in key sectors,1779,0
65,not-hateful,tensor(0.9995),cnn politics the use of immigration detention and family separation,2326,0
66,not-hateful,tensor(0.9102),this wont happen unless the dems retake congress and its loser in public opinion right now hurting the chances of that happening zogby of americans favor stronger immigration laws we have to win elections first,1.01E+18,0
67,not-hateful,tensor(0.8454),oxymoron of the day factual feminist see the blog,7096,0
68,hateful,tensor(0.9888),where the bad bitches at and by bad bitches mean tacos,1001023254,0
69,hateful,tensor(0.5455),you trump want to scare us about refugees by lying about murders that never happened much worse than hrc harmless fantasy,8.28E+17,1
70,not-hateful,tensor(0.9351),thank you for your kind words hope to meet you in the new white world one day soon,12873389_2,1
71,hateful,tensor(0.8989),kaaspiet bloempiet lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken zolang maar blanke beslissing is,1001012494,0
72,hateful,tensor(0.8458),so jealous of my parents and bryce gone to rednecks with paychecks for the weekend should ve gone,1001021406,0
73,not-hateful,tensor(0.9804),thai steak salad level san diego bay san diego island prime harbor island igfood foodie,5.89555E+17,0
74,hateful,tensor(0.9942),kratataaaaa swag bitch,1001012575,0
75,hateful,tensor(0.9785),know you niggas see me keep work log ju heard lol,6.79539E+17,0
76,not-hateful,tensor(0.8045),give me minute at ihop right now and gone make another person for the rough riders umma make sf,5.91424E+17,0
77,hateful,tensor(0.9882),niggas whole pelvis be on you with hands around your waist talm bout can get thru here yea bitch if you release me tf,8.71E+17,0
78,hateful,tensor(0.9621),it nice butt but did not think you were slut thought you might be lb man tweeting in your stained wife beater,4995,1
79,hateful,tensor(0.9967),rikanya get this bitch out my dm,1001020980,0
80,hateful,tensor(0.9892),all the niggas do from ep is fuck they boys girls babymoms and all the bitches do is fuck they girls mans bd shits terrible,8.70E+17,0
81,hateful,tensor(0.9566),want libtard to oppose abortion,14671829_5,1
82,not-hateful,tensor(0.8094),jake tapper biased rept on immigration featuring crying kids from obama admin working give dems cover resist immigr reform,1.01E+18,0
83,hateful,tensor(0.9992),wow these niggas foul,5.88927E+17,0
84,hateful,tensor(0.9791),swear to god pressure niggas feeling some type of way but had already seen it coming,9.01E+17,0
85,hateful,tensor(0.9914),rt the fact that all all hoes gettin pregnant wit no ring on ya finger,1001017255,0
86,hateful,tensor(0.9915),wish my bitch ass mother would give me my grand for child support fuckin bitch,1001011386,0
87,hateful,tensor(0.9950),rt theses niggas hoes and these bitches greedy,1001014543,0
88,hateful,tensor(0.9889),rt just normal ass dude that has no hoes and happens to be funny every once in while,1001014659,0
89,hateful,tensor(0.8167),the skank that looks like half man and half it actually has the nerve to make fun of someone else looks can not make your kind of stupid or ugly up looks like your surgery was success congrats dude btw why do you,18754,1
90,hateful,tensor(0.9355),my yr old sister goes to restaurants and orders steak feel sorry for her nigga when she grow up,8.55E+17,0
91,hateful,tensor(0.9934),welp me baby cooked bae what for dinner me that bitch you been texting,1001023049,0
92,hateful,tensor(0.9919),somebody put sticker on my dogs cheek bitch,1001024959,0
93,not-hateful,tensor(0.9969),at asian house in katy tx,9.38E+17,0
94,not-hateful,tensor(0.9621),when the girls apply it to their faces they help maintain piece of their culture inside the refugee camps rohingya myanmar,2889,0
95,hateful,tensor(0.9750),whops yardie go smoke blunt and tell nigga to come through you are stressed,1001023318,0
96,hateful,tensor(0.9864),that why could always call smurf for anything my niggah always there even when im beefing my baby,1001021928,0
97,not-hateful,tensor(0.9861),japanese interpreters languageline solutions austin tx customerservice interpreter bilingual job jobs,5.88464E+17,0
98,hateful,tensor(0.9950),rt when you go to college party and you do not see any bitches,1001017679,0
99,not-hateful,tensor(0.9998),young children are in deportation proceedings alone some cant even say what country they are from,1.01E+18,0
100,not-hateful,tensor(0.9438),rt this grown on your own shit is for the birds,1001018183,0
101,not-hateful,tensor(0.5140),it just my opinion on why black men treat black women the way they do not excusing it just making sense of it,5.8961E+17,1
102,hateful,tensor(0.9918),lmao rt tempted to send this fuckin hoe lmao,1001001191,0
103,hateful,tensor(0.9930),rt nigga when from can get hug to got hoes,1001017868,0
104,not-hateful,tensor(0.9996),anxious migrant mother awaits reunion with child,3021,0
105,not-hateful,tensor(0.6178),stand with the victims of sexual harassment or rape no matter if they re woman or man rape is rape what,8755,0
106,hateful,tensor(0.7894),soccer players go down more than my bitch on my dick,5202,1
107,not-hateful,tensor(1.0000),the latest macedonian police find migrants inside truck,480,0
108,hateful,tensor(0.9907),believe it or not hoes get boring after awhile,1001008220,0
109,not-hateful,tensor(0.9698),rachel caswell we re all in the dance sara caswell dave stryker fabian almazan linda may han oh johnathan blake we re all in the dance psas high blood pressure national immigrant justice center,1269,0
110,hateful,tensor(0.5438),rt yeah they trash this man capitalized his tho takin all ya fans,1001016719,0
111,not-hateful,tensor(0.9998),have not you ever heard the story of the birds and the bees,1001005943,0
112,hateful,tensor(0.9735),he sound like bitch,1001010013,0
113,not-hateful,tensor(0.9641),this means you can not ram these into silo openings you have to target the entire tunnel or silo structure with these,6912,0
114,hateful,tensor(0.9950),rt would be so happy so many bitches would be humbled rt how would you feel if they discontinued the sale of weave,1001014541,0
115,not-hateful,tensor(0.8765),rt seahawks fans are scheduled to meet up at pier on sat pm to trash talk and heckle san franciscans be prepared wear,1001017042,0
116,hateful,tensor(0.9452),for some children right now donald trump is there first white president which is great because now they know everything wrong with white people from the very start,9.55E+17,0
117,hateful,tensor(0.9949),miss this bitch ass whore,5484,1
118,hateful,tensor(0.9902),im in full suit bow tie and all at restaurant called my frat bitch ass nigga caught myself bc im around white ppl staring at me lol,1001012030,0
119,hateful,tensor(0.6270),if you are not aware of this situation you need to be as the us has taken in thousands of these muslim refugees,2690,0
120,not-hateful,tensor(0.9971),drinking sapporo premium beer by sapporo breweries kobehana japanese steakhouse sushi,7.23673E+17,0
121,hateful,tensor(0.9912),wth this little nigga doin lmfaoooooo,9.15E+17,0
122,hateful,tensor(0.9865),can save these hoes,1001008581,0
123,hateful,tensor(0.7880),nigga caught that ebro shade in dotd,9.90E+17,0
124,not-hateful,tensor(0.9248),racism and racists must always be exposed challenged and fought against using any method necessary to defeat them makeracistsafraid makeracistsafraidtoberacist,1.00E+18,0
125,not-hateful,tensor(0.5113),him as well they like their fried chicken esp the spear chuckers,1001003898,0
126,hateful,tensor(0.9946),rt you can not take no ones bitch,1001018639,0
127,not-hateful,tensor(0.6669),great tweet now get rid of rinos paul ryan mitch mcconnell and lindsey grahamnesty repeal obamacare and deport illegal immigrants including so called dreamers nodaca,1320,1
128,hateful,tensor(0.9651),does sza have freckles on her pussy too,1001009012,0
129,not-hateful,tensor(0.5576),always believe women alleging rape cough unless the perp is someone we like then forget it cough,8846,0
130,not-hateful,tensor(0.9995),last tweet was via,5.94014E+17,0
131,not-hateful,tensor(0.8612),again love to hear the story of your familys journey but you have missed the thrust of the comments did melania violate her visa by working if she did you should have the same problem you obviously have with the undocumented it is the same thing equalityofoutrage,9.64E+17,0
132,hateful,tensor(0.9931),rt jody was really pussy tho he let some lil niggas jump him and take his bike old head sonned him in front of his mama,1001016407,0
133,hateful,tensor(0.9491),bruh that white ho on gone girl rt currently watching gone girl waiting on chinese,6.83166E+17,0
134,hateful,tensor(0.9388),the south is full of white trash the midwest is full of white trash the west coast if full of white trash,1001021970,1
135,not-hateful,tensor(0.7837),isis jihadis in australia shoot man in the face chanting isis will stay tcot pjnet,1001011745,0
136,hateful,tensor(0.9885),big thick pretty bitch,1001008251,0
137,hateful,tensor(0.9938),possed to be niggas he fucking yo bitch,5.90852E+17,0
138,hateful,tensor(0.9829),it yo fault taking nig out everyday,1001007330,0
139,hateful,tensor(0.9927),call ma bitch such funny never look in mirror so you gonna know that who bitch or maybe slut or maybe you are both of theme,5898,1
140,hateful,tensor(0.9927),wish you wood like tree in this bitch,1001005383,0
141,hateful,tensor(0.9899),not arguing with no bitch over nigga girl fuck you and him,1.02E+18,0
142,not-hateful,tensor(0.9367),immigrant rights advocates protest boughton cooperation with ice connecticut welcomeimmigrants,1638,0
143,hateful,tensor(0.9862),she isnt racist unlike your somlalia bitch friend and you always causing shit bye slut,4963,1
144,hateful,tensor(0.9291),make me use this my nigga,5.90673E+17,0
145,not-hateful,tensor(0.5646),yep lmao its been hectic few weeks waddup ho,1001003955,0
146,hateful,tensor(0.9719),they told me to watch the small things when it came to nigga,9.01E+17,0
147,hateful,tensor(0.9891),got something for your ass keep thinking pussy,1001010661,0
148,hateful,tensor(0.9905),nobody is ever gonna take this ass clown serious again what lil bitch,1001005808,0
149,not-hateful,tensor(0.7398),response to hysterical many women suffer serious bc side effects why so offensive to offer alternatives,8117,0
150,hateful,tensor(0.9884),stunt on these hoes like,1001021651,0
151,not-hateful,tensor(0.9975),floater gets the best workout and was the floater this morning boxing muaythai mma,5.91253E+17,0
152,hateful,tensor(0.9919),rt turning over new leaf no more drama and cod for me is still faggot justbigethings,1001017989,0
153,hateful,tensor(0.9809),rt im scared of her her pussy too good lol,1001017551,0
154,hateful,tensor(0.9887),want my bitch to answer if my ex calling with my dick in her mouth,1001011311,0
155,not-hateful,tensor(0.5760),he started this hashtag because there certain type of immigrant to germany he does not like and wants to humiliate we are in that group rt if you think we should be able to stay and finish our bahnhof renovation danke neogermans,320,0
156,hateful,tensor(0.9926),rt yeah eagles definitely are not finishing th in division not this year bitches,1001015564,0
157,not-hateful,tensor(0.9988),need japanese steakhouse,9.27E+17,0
158,hateful,tensor(0.9931),sometimes wish we were not cousins cs ur bitch butttt love whore you re only young once but immature for,6112,1
159,hateful,tensor(0.9710),am out can not listen to joe bitch about things he did himself and tell half truths msnbc your viewers deserve better morningjoe,1001010297,0
160,hateful,tensor(0.8028),not down to be side bitch tho,1001011625,0
161,hateful,tensor(0.9986),you are the most hysterical woman not there,18858,1
162,hateful,tensor(0.9948),like do not play with me bitch,1001012738,0
163,hateful,tensor(0.9922),happy birthday to this fag,1001009915,0
164,hateful,tensor(0.9965),rt school is so pointless im just trying to pass the class and get out this bitch,1001020398,0
165,hateful,tensor(0.9872),hate islam the so called religion of peace may be on the prophet,9.26E+17,1
166,not-hateful,tensor(0.9735),detaining immigrant kids is now billion dollar industry,1834,0
167,hateful,tensor(0.6587),when mexico sends its people theyre not sending their best theyre bringing drugs theyre bringing crime theyre rapists and some assume are good people strangely depends on foreign workers for his properties immigration,3044,1
168,not-hateful,tensor(0.8213),hey we the people still insist on the wall enddaca endillegalimmigration stop low wage programs supporteverify,2559,1
169,hateful,tensor(0.8736),of hrdest thing for me to kno is that even after muslim refugee ban there will still be jews who support trump ws is one hell of drug,8.25E+17,0
170,hateful,tensor(0.9157),respect and you still my nigga but friend this year it ain happening,8.64E+17,0
171,hateful,tensor(0.9912),how about that liberal whore chelsea handler that bitch definitely sounds ignorant,4916,1
172,hateful,tensor(0.9997),immigrants are ok but they should pay taxes and pay for social security like everyone else if anyone disagrees they are full of shit,8.57E+17,0
173,not-hateful,tensor(0.9994),best thai restaurant in bulanthai in silver lake they have the most delicious vegan,6.75393E+17,0
174,not-hateful,tensor(0.9654),international police operation disrupts shylock banking trojan computerworld the guardianinternational poli,1001012129,0
175,not-hateful,tensor(0.9680),when speaking of jerry richardson can you folks please stop conveniently leaving out the racist part in all of this please and thank you,1.01E+18,0
176,hateful,tensor(0.8953),fuck school nigga always skipped class,9.25E+17,0
177,hateful,tensor(0.9873),rt cuz soon as start doing the wack cute shit hoe shes your girl really,1001016192,0
178,hateful,tensor(0.9727),god dam man that freestyle is so retarded that its fumny af omg,1001009718,0
179,hateful,tensor(0.9858),but yo scary ass do not want to see me tho stfu talking am know where be at pussy boy,1001006589,0
180,hateful,tensor(0.9962),eat shit who are you working for you nappy bitch,1001005260,0
181,hateful,tensor(0.9936),rt yall ever was in the car with ya moma before and you singing every song come in and she be like bitch you know that sch,1001020030,0
182,not-hateful,tensor(0.9994),vintage instagram we always keep selection of interesting asian influenced accessories,7.20023E+17,1
183,hateful,tensor(0.9996),seriously retarded is really funny word,1001021135,0
184,hateful,tensor(0.9328),we know nigga,9.87E+17,0
185,not-hateful,tensor(0.5098),shabbat savage torah tank hebrew hammer jewish javelin israeli infidel shekel savior,9.60E+17,0
186,not-hateful,tensor(0.9900),text me back yo need to tell you something,5.91315E+17,0
187,not-hateful,tensor(0.8161),why the fuck was professional racist liar and traitor steve bannon given this national television platform,1.01E+18,0
188,hateful,tensor(0.6832),my name is bryanna you can find me at the baddest bitch you ll meet because everybody wants to be me,1001013408,0
189,hateful,tensor(0.9504),simply cani deal with confrontation so just back away when cunts get aw nasty towards me changed lot in the past few years tbh,1001021301,0
190,not-hateful,tensor(0.9438),colombian bubba gump shrimp co miami,7.21008E+17,0
191,hateful,tensor(0.9838),thatfuckmemoment when you leave your car windows down and it rains in your car and looks like hurricane katrina ran through that bitch,1001000801,0
192,not-hateful,tensor(0.9553),found local jewishdeli in west covina haha reuben sandwich on,6.76889E+17,0
193,hateful,tensor(0.9163),lol gj brother points for the uber humans and for the sub human ape creatures you are truly one bad mofo whitey crakker man,31744038_1,1
194,hateful,tensor(0.9886),really hate fat bitch cause bony love smoking hella swisher when feeling lonely try me voice,1001011115,0
195,hateful,tensor(0.9820),little bitch your ass is getting tased when get home,1001002371,0
196,hateful,tensor(0.9921),get your nasty ass out of my snapchat bitch,1001009669,0
197,hateful,tensor(0.9784),that nigga live tyler,1.02E+18,0
198,not-hateful,tensor(0.9983),cubanflag mural artbasel wynwood alberto linero gallery,6.7477E+17,0
199,not-hateful,tensor(0.5369),when hollywood powerhouses accuse you of rape you have problem when you help make them powerhouses you became the problem,6523,0
200,not-hateful,tensor(0.8925),if im asian and fence this should be attainable right jedi master lets try,1.01E+18,0
201,hateful,tensor(0.9959),besides my sisters this is one of two bitches you will always catch me with,1001008224,0
202,not-hateful,tensor(0.9801),rt red hot chili peppers with the longest nip slip in super bowl half time show history,1001018063,0
203,hateful,tensor(0.9966),rt all bitches is fake as shit,1001017614,0
204,hateful,tensor(0.9932),rt when say faggot it just means someone who is fucking weak,1001015051,0
205,hateful,tensor(0.9881),rt dolph in this hoe bout to rock dj holiday show memphis,1001020572,0
206,not-hateful,tensor(0.9947),went to chinese food place and def sounded like they were playing the soundtrack from runescape mixed with some final fantasy and harvest moon id go back just for that,9.63E+17,0
207,hateful,tensor(0.9950),murdered by an illegal immigrant,2489,1
208,not-hateful,tensor(0.6071),how do you know baby boy baby ho gya kya,6601,0
209,not-hateful,tensor(0.7428),november is close votered if you support grieve for victims such as kate steinle mollie tibbettsvote dem if you support the illegal aliens who killed them in cold blood potus maga kag getoutthevote redwave buildthewall nodaca americafirst ice trump,2973,1
210,hateful,tensor(0.7048),rt jammer just said to me he thought mustard on the beat ho was saying abdullah on the beat this whole time loooooool,1001019897,0
211,hateful,tensor(0.9826),the way he raps about fucking my bitch banters about having more money than me is so entertaining it crazy,1001005194,0
212,hateful,tensor(0.9612),yooo shit bout to have me back on my bullshit my nigga lol,5.88846E+17,0
213,hateful,tensor(0.9717),car sex all fun games till nigga get charlie horse and cant move,9.52E+17,0
214,not-hateful,tensor(0.8951),when your local korean bakery knows whats up banana bananacake bananakick rulesofdada feedthedada dadaland dadalife koreancake,9.50E+17,0
215,hateful,tensor(0.9480),lol cant entertain no broke nigga who wanna be something they not gtfo,1.01E+18,0
216,hateful,tensor(0.9817),simmons acted like bitch when doc left for la,1001006351,0
217,not-hateful,tensor(0.9636),ffs you re such loser,7460,0
218,hateful,tensor(0.9788),tbt nigguh,1001021754,0
219,hateful,tensor(0.9992),poor whitey,1001000657,1
220,hateful,tensor(0.9935),bitches be calling niggas by they hood name and never know they real name so theres that,9.28E+17,0
221,not-hateful,tensor(0.9999),for more on the findings discussed in this article including state by state data check out,4596,0
222,hateful,tensor(0.9863),you say you classy and sadity say bitch you tease,1001023897,0
223,not-hateful,tensor(0.9934),use nars radiant creamy in vanilla or japanese concealer,8.49E+17,0
224,hateful,tensor(0.9922),rt it goes to her ego and her head bc it sholl is big bye bitches,1001015815,0
225,hateful,tensor(0.9902),do not have airline passes do not know anybody that have them either hoe niggas be flying me out that how travel so much,8.34E+17,0
226,hateful,tensor(0.9871),sitting up here next to the neighborhood crazy bitch she keeps randomly busting out laughing,1001021321,0
227,not-hateful,tensor(0.7925),vegas which guess he was victim and the cops are all racist year after year complaining about his contract which all went to books apparently embarrassing the team not only in jacksonville but at the end of super bowl,9.87E+17,0
228,hateful,tensor(0.9937),he married to white woman lucky sum bitch uncle ruckus,1001000463,0
229,hateful,tensor(0.9644),but bitch nobody was wanting your ass assumed that cuz let dogs run up in yo filth think want some of it not,1001004070,0
230,not-hateful,tensor(0.9998),it is now forbidden in france to say french people first illegal migrants out,450,1
231,not-hateful,tensor(0.6662),listening to the world service this am criticism of israel for wanting to deport young african male migrants it maybe evidence from europe like france and france many are not settling and are turning to crime better the truth than living lie,350,1
232,not-hateful,tensor(0.9059),did you make this it hysterical xd really really accurate about that group the only thing mis,8910,0
233,hateful,tensor(0.9474),bitch im waitin on my chicken nuggets,1001005889,0
234,hateful,tensor(0.9908),rt basic bitch starter pack,1001016766,0
235,hateful,tensor(0.9990),sick barstewards this is what happens when we put up the refugees welcome signs they not only rape our wives or girlfriends our daughters but our ruddy mothers too,1890,1
236,hateful,tensor(0.9875),niggas wont ever realize what they had till you leave they ass alone and boss the fuck up when its too late,9.71E+17,0
237,hateful,tensor(0.9873),one day nigga want me then when do not make it easy for him he with new bitch the next day do not want that want effort,8.20E+17,0
238,hateful,tensor(0.6068),shut it down borderwall buildthatwall kag,1733,1
239,not-hateful,tensor(0.8618),after italy blocks charities from rescuing refugees migrants and drown in just weeks it now refuses to help trapped on an seaworthy wooden boat like this one,1362,0
240,hateful,tensor(0.9616),americans are tired of illegal aliens circumventing immigration laws using anchor baby extortion techniques no cutting line,9.16E+17,1
241,hateful,tensor(0.9856),yo bitch on the horn tryna shoot porn that shirt worthy tony,1001000609,0
242,hateful,tensor(0.9834),rt bitch where you see katy or perry in that pic rt katy perry is so fit,1001016538,0
243,not-hateful,tensor(0.8864),today was talk like pirate day and absolutely nobody knew id been doing charlie morton impersonation all day,1001005757,0
244,hateful,tensor(0.9856),wanna piss hoe off when in the club she in front tryna dance for do what doing right now tweet,1001022825,0
245,not-hateful,tensor(0.9807),the only boards still have from them are just the tie dye ones monkey edition black and silver and the newest ones,1001005810,0
246,hateful,tensor(0.9949),kangaroo jac bitch wit dry weave rt fuck look like hoe,1001012497,0
247,not-hateful,tensor(0.7219),while we live into our russians are living into their with socialized medicine cuban dr now coming here,7.06479E+17,1
248,hateful,tensor(0.6485),tgif happy blessed fatherandson dancing fun times red home oklahomacity hot nigga,7.20983E+17,0
249,hateful,tensor(0.9927),rt this bitch is pregnant dancing her heart out for me and on instagram an asshole,1001019983,0
250,not-hateful,tensor(0.9960),we re hiring click to apply arabic interpreters customerservice interpreter bilingual detroit mi job,7.25733E+17,0
251,hateful,tensor(0.9889),rt females love stealing someone boyfriend that not cute all hoes need some morals life goals,1001019913,0
252,not-hateful,tensor(0.8531),will probably deep condition hit em wit the bantu knots doe,5.90746E+17,0
253,not-hateful,tensor(0.7985),the supreme courts decision to uphold watered down version of president trumps travel ban trumpban iv on tuesday threw fuel on the already explosive debate over his vile immigration policy and treatment of minorities or lack thereof,1.01E+18,0
254,hateful,tensor(0.9924),ruga bussed yo bitch bowbow,1001006569,0
255,not-hateful,tensor(0.7611),agreed not to be outdone my year old hands off is photo bombing they are my joy may they grow old in world devoid of racism,9.45E+17,0
256,hateful,tensor(0.6204),nigga phone always dead wtf,5.88881E+17,0
257,hateful,tensor(0.9753),finger my throbbing pussy slowly as cum on ur face,1001002581,0
258,hateful,tensor(0.9432),an year old gay driving through the back roads of redneck virginia blasting cheetah girls if that does not scream sitcom what does,1001011519,0
259,hateful,tensor(0.9837),cant stunt on me with them skimp ass blunts smoking haha make nigga run thru some shit,9.78E+17,0
260,hateful,tensor(0.9917),rt so all niggas really love these hoes with nigga qualities huh she roll the blunt better than you and she wifey now,1001017748,0
261,not-hateful,tensor(0.6397),people are willing to say black people arent being discriminated against because whites die more to police brutality than blacks that doesnt justify the injustice done by the police on daily basis if police brutality affects everyone it should be even more significant,9.92E+17,0
262,not-hateful,tensor(0.9947),may merkel express support after us airstrike in syria,8.52E+17,0
263,hateful,tensor(0.9854),rt shes one of the ugliest women ive ever seen cross between reptile and crow,1001020075,1
264,not-hateful,tensor(0.6415),used to only fuck bartenders cause have very expensive drinking habit,7330,0
265,not-hateful,tensor(0.6852),love how my brother actually tries to understand his girl and see her point of view when they argue instead of being bitch about it,1001010996,0
266,hateful,tensor(0.9934),rt swear nice girl until you do something that pisses me off then the bitch comes out,1001017462,0
267,hateful,tensor(0.9977),if this stupid brown savages would stop slaughtering animals or worshipping them like they do in india maybe they would be starving and so poor,14078237_1,1
268,hateful,tensor(0.9707),real nigga dgaf about nothing that happened before them if the nigga gone fwu he gone fwu simple,8.40E+17,0
269,hateful,tensor(0.9942),rt my last bitch was bitch came in da trap tryna vine da dope fuh likes her funeral was days after dat,1001016841,0
270,hateful,tensor(0.9815),lmao hoes extra sensitive via text they swear they hear your tone in every letter start using punctuation,1001005506,0
271,hateful,tensor(0.9466),bitch whats the plan yo box irrelevant,1001024139,0
272,hateful,tensor(0.9823),she like imma stop talking to you because you vibing in them headphones talk to me and come get this pussy in other words,1001004994,0
273,hateful,tensor(0.9907),my job some hoes how you gonna call at talking bout come to work at ummm no staying in bed,1001013375,0
274,hateful,tensor(0.9944),one less little nigger that would grow up into big nigger,1001004962,1
